user,averages_distance,variances_distance
david_n_slater,0.64,287.58230111964826
11122252082,0.12,217.96171196409432
workhardplaylisthard,0.31,407.8005459643506
aashmehta,0.21,177.80344501411923
bazzdream,0.36,640.8095252299222
samcorrazza,0.28,221.4367797997736
unxigned,0.37,596.6692902093936
018bw17cq0aekcgegrdjnfvro,0.32,174.58824018417485
nastigi,0.27,118.84212888391374
a8e0esu00fdzekiuoahzzpnz0,0.13,241.007843349869
ofennel,0.25,140.2504734670511
k9zwzfjrmcuibq65jnmfk02hk,0.32,309.6492357329792
1241965319,0.19,302.1096697918251
ktm014,0.68,720.123980537355
31julfg7xnezrptnnfshv22aezxm,0.2,42.911493508887105
4ke3yp8dq54of3g46tg0y371c,0.32,612.4427295804246
5v83s3es40sgv3b3wjywcr5m5,0.21,388.561451802695
qd38drw5g9rgll0cnljr34tpg,0.32,243.43952663030976
7wb4w52q4hqjouycrtt0ymr73,0.38,578.422688325124
31fn2gwaap25uqr7wy75k5eszo5y,0.64,403.1815963587364
11165814426,0.59,458.0721900359427
b1dd93loveagk9fdzalnwm255,0.24,273.44893850166767
1165462490,0.6,375.9737881475212
21cll3stndxk62afeotbbjscy,0.29,474.6371136203847
9lmp1l3qs458s6amqsbb25fm0,0.25,207.37335123601324
fdfk3fhmfe6yx5e5507xf3xm6,0.92,858.5541310047132
manusanchezhl,0.17,138.7837304349003
jeddycup,0.51,330.69026305090665
savz8vts72hqdy7von3mqc29g,0.54,263.6966780565419
nalzpfryfddgx66cxc3vbv5mr,0.16,110.29770480228731
32biizfg4h6inom15150n3zxb,0.32,523.8044287522354
21ezhb5mw6r2gzpb5a733wsay,0.16,238.65440161273963
99lz94jbrrubbw6r6rvvnsvvp,0.28,427.242494255458
lc3pfu8yuotinsbg97zjo42fz,0.23,126.32457057844623
sonymusicnl,0.18,176.973567455385
filtr.ca,0.14,151.98050384673374
sonymusicentertainment,0.18,443.77889825941537
mejoresplaylistsspotify,0.22,245.39614987585813
sonymusic,0.2,349.2681908033117
filtrmexico,0.19,299.11343675123084
lowlypalace,0.38,416.38044650578877
22o3n75bhgnpae3npvqjcfpdy,0.34,509.1678621192659
digster.fm,0.23,320.80755084155965
1241340025,0.19,264.13114848535474
1248033372,0.17,299.72817739092517
12162740034,0.51,231.17784970229357
124754796,0.32,167.68750545340086
1224159663,0.19,192.98983582526856
rapuls97,0.17,103.54369392903381
swdefrancesco,0.28,221.867215741556
1210667071,0.28,269.85130938151013
1258501800,0.16,189.16557946120074
1223494793,0.07,132.1837527138472
1224261712,0.27,121.36327528824327
digster.au,0.11,66.5907343520761
12870992,0.18,66.60822351289467
tom_misch,0.27,360.40245077921674
athensjw,0.25,106.84121544727522
mrc-panic!,0.16,133.37265901444383
karenkacurin,0.19,75.11210426310889
122728352,0.13,253.3393609247538
valter___soares,0.46,855.2586308192881
11157767070,0.26,411.1449849641949
bf04hngc7bjuwpvzgknxo5q0a,0.33,673.73743490369
h9ktizija2baqjr8zw0vzr5vo,0.3,628.5638226461932
22ngz47ylqmjub434cf1lrwkk,0.26,634.6670350564948
ae6l5wf72ujl9qhnasthrx3b2,0.47,871.5412202351459
qtgnhmgdyogtzuc6fwttk8aan,0.42,822.3281362456293
vdfv9jaryenwf1ii09mp6qrjj,0.23,615.195812263569
6ogp04wbngt0us3t5wj6xv7nq,0.46,626.9703829890938
2016marcosantipolo,0.2,108.83122266556055
0fhvt0m1vhkl5wiz01329noel,0.37,418.53806585569316
1159979060,0.09,73.49332673205781
fbhksp,0.32,307.3360860612101
4k6llzcuuu1hi2ofgyxa9war2,0.31,343.81055704385136
crossmoth,0.46,305.4137231716411
d5c4oelnb6rwnlso2p7e1qi7w,0.26,173.91091516047945
41tkabkilyx2zkr8hlltyfmtg,0.19,110.81391535469704
0beng3fk6ynn9c22x700varkd,0.17,99.14601427982528
nwbhoiyirqrin3zoj6tsa8fpi,0.1,364.3744544668836
mdhkcsjfns0fn1xh0wsor8v89,0.19,167.55745871584048
nuelect,0.3,400.9831288623317
pdjlhj5pwa7c7nm8pfww13pju,0.23,147.10398051540525
12169281660,0.18,275.0752629432085
y9kqc3nebfjoyci4yrosmg6ot,0.07,98.9700223763641
0jys7eifth3i82rdkiuih1jtk,0.34,128.36081335510616
ve9970biuo9rc954dnnjfl15q,0.28,93.31887766461412
4fbt2mg0aikv8ivuc28u2muoc,0.18,165.2201396088998
z9cp5f0il9vulm23papdm2n00,0.25,262.9677804059355
nvy1l3fuhf2srit863wm50fyl,0.32,624.4156252716373
3coxqftp49wh3e07wj0tq01j6,0.12,80.07682005827796
8yng2ptktmo0csoo5oef3cozp,0.18,335.2558413675464
radughemis,0.22,100.37213698486799
onevizse,0.15,85.58404429395323
ktchoa,0.22,124.92901750293186
aqiyexjg1j992m8mwbzgjsrym,0.31,587.7471342677819
truenorthrecords,0.22,173.084884011835
parleone,0.4,439.9725879561538
officinasonora,0.63,564.9983359510114
ds14fish0lnr5bp3zrumkumhb,0.2,449.3307661357824
8nt0o8b6djzsdaw6ogljxmaqb,0.17,116.24725703418191
1222657134,0.28,291.6695431121513
wearediamond,0.18,711.8580707053115
chilledcow,0.97,571.3821819937493
1179690246,0.36,811.6352258210836
wukimusic,0.43,439.3239187236243
jadudala,0.53,485.6584538582713
djsnake_official,0.43,384.06013108756053
dj4b,0.36,680.2481207586147
lucianofficial,0.12,547.7430180459405
awonderdj,0.4,124.61037962581752
1251354538,0.29,241.2638018711515
ramzoidmusic,0.21,102.40291864434248
neversaydieofficial,0.59,619.5214242723409
slanderofficial,0.45,409.5821986811692
o2t1gachojvd9zpe4fznbrsjg,0.57,616.4337422500996
wearebrohug,0.76,944.1913509402465
fvckdivmonds,0.56,655.5396643487212
itsjameshype,0.54,845.8509983277743
jfchwv2q5gfzxr9ee8vdyebku,0.37,524.3147024898252
jackwinsmusic,0.53,842.4620491888943
oxenbutcher,0.27,450.5901482178648
zpwskc6zeoa0h9h9dkxptygp6,0.46,707.2015544863804
eonitymusic,0.32,253.36170404798983
8fwecnm0bvx3bpchhg3ntes2f,0.68,923.143550933233
5ml9kjs1sj9deiwbjvk4tdmn7,0.68,627.972656760881
31figmscdbgftstt6jhyuo4nncha,0.23,57.600236104773046
zgk6mml4c0qetgqjdiow1z6qy,0.21,442.4415073633571
q50odtetqgrl1roiflwmsv763,0.23,322.0356361041653
5gnk1suthrjmi2fy4mx0oq5or,0.9,999.4865071880234
bokum8nv111606bergkax18do,0.78,958.7241625522336
lucasaf01-br,0.27,421.3310733947521
46540vk6hk2v5fh7zrej4rz8p,0.24,227.65299439144772
rpt4hecmlm0ak5vrhtqooq265,0.37,403.3843328812202
hxhgluszud3h27ensf9x736af,0.46,527.3151652519152
8mh5vjcu8uurb4nwn7fvzyg8b,0.23,347.89663486197156
haj99novo33p92db2zf2dswdb,0.27,393.78584066709203
xuakvfi05qxb5dadu77o9udin,0.38,805.2399216051107
franpotencia,0.23,115.38786635606894
serjezizzo,0.41,629.0048897769634
hubrecords,0.5,867.0920595657414
noraenpure,0.89,947.4820532481567
sonsofmaria,0.51,769.5666547382967
31aofhkhwl4ffq2rfyl5gdgc2qdm,0.31,472.3901407672138
1pg9k6ug83tfus4pfxerfwu71,0.41,539.474606531936
msyzwudoikt1oea56jmzm5dhq,0.57,776.4282927290687
uoak,0.67,926.5628467253496
69wqbo1dhjwit0w11estf2c8i,0.41,586.1446598993778
7sj8zj2mq41yrtbqxl71ysrb5,0.39,356.67760706681753
7qot8jp1r4y7isf0fn31rgfpj,0.84,925.1557673074615
1125474112,0.35,493.4481893618709
dft73bz7owss3mncebwv2de9t,0.33,393.16761268414314
1156870903,0.38,563.8572546848109
wd7g8i2filygbks0sgk8hnj8d,0.84,966.0238005140884
5y1mb6h4t2qlq6f3nno6set8x,0.38,547.2291673470104
itstomix,0.37,507.660550623294
futurediscomusic,0.77,964.5161051806268
m9xmat215fxew2ehw7ozws8ws,0.46,853.1827966282939
oproblemaegrave,0.46,830.1917694108998
21ikkzjpsqgvcp4eiz4gpe7gi,0.52,867.0706581400684
2rq61ec2wepsfsnpoh9c8r877,0.35,391.32244921474654
d38sqg3bqvn9gljyderq6m787,0.54,561.810042402123
golddiggerrecs,0.63,799.9798293877984
o2aoshvsdh7q2041x8vxawkha,0.41,508.70292850285
groovebassment,0.64,913.2375223582195
z0t82mlnrczdi5pnifrk81hll,0.4,749.6478299797327
deepwindermusic,0.32,631.7331294850861
iczmxwz0sicbu4kcrho7rk1x6,0.57,1020.8888543288216
