,user_id,artist,popularity,acousticness,danceability,energy,instrumentalness,loudness,speechiness,tempo
0,0ky2g9adn8q5y7rou6qxp4akq,Swartchback,40,0.811,0.287,0.756,0.0959,-6.522,0.0541,120.005
1,0ky2g9adn8q5y7rou6qxp4akq,Adam Bü,51,0.646,0.022,0.975,0.00648,-4.185,0.086,128.034
2,0ky2g9adn8q5y7rou6qxp4akq,STANDAARD,35,0.72,0.0818,0.746,0.0,-6.452,0.0492,118.045
3,0ky2g9adn8q5y7rou6qxp4akq,BABA NYZA,55,0.659,0.62,0.471,0.0,-8.615,0.0542,97.022
4,0ky2g9adn8q5y7rou6qxp4akq,Irajá,40,0.512,0.0177,0.829,0.945,-8.256,0.0367,119.929
5,0ky2g9adn8q5y7rou6qxp4akq,MindMassage,45,0.639,0.623,0.74,0.000467,-5.107,0.0408,69.91
6,0ky2g9adn8q5y7rou6qxp4akq,THK,34,0.851,0.0106,0.914,0.082,-6.237,0.394,124.014
7,0ky2g9adn8q5y7rou6qxp4akq,Snow N Stuff,33,0.71,0.0722,0.876,0.725,-9.021,0.0487,130.005
8,0ky2g9adn8q5y7rou6qxp4akq,Swartchback,33,0.754,0.0687,0.592,0.738,-8.261,0.0767,104.973
9,0ky2g9adn8q5y7rou6qxp4akq,Moodygee,51,0.482,0.0157,0.625,0.000227,-6.445,0.0916,127.47
10,0ky2g9adn8q5y7rou6qxp4akq,DAZZ,48,0.825,0.0566,0.931,4.93e-06,-5.98,0.166,127.984
11,0ky2g9adn8q5y7rou6qxp4akq,Rose Rose,44,0.799,0.172,0.761,0.0595,-8.768,0.0398,110.001
12,0ky2g9adn8q5y7rou6qxp4akq,Sunta Moon,35,0.722,0.769,0.341,0.000417,-11.76,0.0378,94.004
13,0ky2g9adn8q5y7rou6qxp4akq,Dj Thera,37,0.55,0.0153,0.987,0.878,-4.485,0.13,149.966
14,0ky2g9adn8q5y7rou6qxp4akq,Justin Mathis,36,0.647,0.0825,0.813,0.0254,-9.203,0.0441,124.004
15,0ky2g9adn8q5y7rou6qxp4akq,Ito Cekaj,36,0.616,0.0809,0.82,0.803,-11.806,0.0611,123.952
16,0ky2g9adn8q5y7rou6qxp4akq,Hidde van Way,42,0.708,0.0835,0.569,0.000109,-11.417,0.0734,125.065
17,0ky2g9adn8q5y7rou6qxp4akq,NIVIRO,46,0.558,0.0118,0.81,0.569,-6.779,0.0516,142.089
18,0ky2g9adn8q5y7rou6qxp4akq,Chris Odd,40,0.764,0.105,0.843,4.46e-05,-3.517,0.0487,94.072
19,0ky2g9adn8q5y7rou6qxp4akq,AW,41,0.837,0.00309,0.811,0.866,-8.192,0.0465,124.987
20,0ky2g9adn8q5y7rou6qxp4akq,Adam Bü,50,0.652,0.0178,0.785,0.0,-5.943,0.104,123.97
21,0ky2g9adn8q5y7rou6qxp4akq,Yesterdawn,39,0.582,0.157,0.659,0.0,-7.587,0.0729,85.759
22,0ky2g9adn8q5y7rou6qxp4akq,Black Domino,38,0.682,0.101,0.701,1.11e-06,-6.752,0.039,102.02
23,0ky2g9adn8q5y7rou6qxp4akq,JULIAN KNOXX,49,0.737,0.00953,0.79,0.00258,-5.23,0.0753,126.042
24,0ky2g9adn8q5y7rou6qxp4akq,X-Change,38,0.724,0.00126,0.866,0.916,-3.293,0.0317,123.968
25,0ky2g9adn8q5y7rou6qxp4akq,AW,38,0.803,0.0306,0.917,0.763,-9.063,0.0467,124.994
26,0ky2g9adn8q5y7rou6qxp4akq,Benjamin Bogart,38,0.791,0.188,0.783,0.0874,-7.021,0.0505,125.009
27,0ky2g9adn8q5y7rou6qxp4akq,Various Artists,37,0.566,0.0455,0.551,0.0,-4.673,0.0331,125.007
28,0ky2g9adn8q5y7rou6qxp4akq,Jorn Pricez,45,0.687,0.0152,0.711,0.00332,-10.105,0.0349,124.997
29,0ky2g9adn8q5y7rou6qxp4akq,Minus One,42,0.645,0.00477,0.82,0.897,-6.697,0.0332,124.999
30,0ky2g9adn8q5y7rou6qxp4akq,Glenton Davis,37,0.725,0.228,0.767,0.0,-5.44,0.0465,132.014
31,0ky2g9adn8q5y7rou6qxp4akq,Glenton Davis,35,0.626,0.0107,0.628,0.0,-8.629,0.0398,102.006
32,0ky2g9adn8q5y7rou6qxp4akq,Glenton Davis,36,0.589,0.00714,0.872,1.83e-06,-4.868,0.125,81.97
33,0ky2g9adn8q5y7rou6qxp4akq,Scotty Berg,31,0.41,0.813,0.298,0.0,-8.872,0.034,69.617
34,0ky2g9adn8q5y7rou6qxp4akq,G&S,25,0.76,0.153,0.537,2.51e-05,-9.049,0.133,125.028
35,0ky2g9adn8q5y7rou6qxp4akq,Savannah Rae,29,0.681,0.0468,0.699,0.0,-9.732,0.0461,129.97
36,0ky2g9adn8q5y7rou6qxp4akq,JULIAN KNOXX,30,0.684,0.000714,0.922,0.0857,-3.972,0.148,125.974
37,0ky2g9adn8q5y7rou6qxp4akq,Symptomatic Healing,27,0.817,0.0787,0.641,0.00232,-9.567,0.143,125.014
38,0ky2g9adn8q5y7rou6qxp4akq,L3N,27,0.606,0.000355,0.911,0.0224,-4.118,0.0377,128.009
39,0ky2g9adn8q5y7rou6qxp4akq,Ava Rowland,30,0.739,0.195,0.642,0.0,-5.522,0.0365,123.984
40,0ky2g9adn8q5y7rou6qxp4akq,CARSTN,49,0.851,0.376,0.693,0.0,-5.057,0.0844,120.051
41,0ky2g9adn8q5y7rou6qxp4akq,Rod Fritz,35,0.759,0.00951,0.549,0.0,-9.342,0.0502,95.008
42,0ky2g9adn8q5y7rou6qxp4akq,Bash!,18,0.642,0.0269,0.536,0.0,-11.534,0.0492,122.021
43,0ky2g9adn8q5y7rou6qxp4akq,Sinplus,24,0.481,0.000666,0.671,0.174,-6.391,0.0332,147.585
44,0ky2g9adn8q5y7rou6qxp4akq,Cameron DuBois,21,0.595,0.0269,0.537,1.75e-05,-6.337,0.0244,82.042
45,0ky2g9adn8q5y7rou6qxp4akq,Cameron DuBois,21,0.595,0.0269,0.537,1.75e-05,-6.337,0.0244,82.042
46,0ky2g9adn8q5y7rou6qxp4akq,Cabela and Schmitt,20,0.692,0.168,0.588,0.0108,-10.248,0.0308,119.995
47,0ky2g9adn8q5y7rou6qxp4akq,Cabela and Schmitt,18,0.7,0.0601,0.7,3.47e-05,-6.82,0.0272,110.023
48,0ky2g9adn8q5y7rou6qxp4akq,Cabela and Schmitt,17,0.686,0.04,0.716,1.38e-05,-7.149,0.0239,110.05
49,0ky2g9adn8q5y7rou6qxp4akq,Lil Nas X,98,0.61,0.297,0.508,0.0,-6.682,0.152,178.818
50,0ky2g9adn8q5y7rou6qxp4akq,Doja Cat,94,0.762,0.235,0.701,0.000158,-3.541,0.0286,110.968
51,0ky2g9adn8q5y7rou6qxp4akq,Billie Eilish,84,0.634,0.937,0.285,0.000359,-14.007,0.0807,129.65
52,0ky2g9adn8q5y7rou6qxp4akq,Joel Corry,88,0.671,0.0142,0.782,0.00221,-4.593,0.0341,123.989
53,0ky2g9adn8q5y7rou6qxp4akq,Justin Bieber,100,0.677,0.321,0.696,0.0,-6.181,0.119,90.03
54,0ky2g9adn8q5y7rou6qxp4akq,Dua Lipa,89,0.702,0.00883,0.825,0.0,-3.787,0.0601,102.977
55,0ky2g9adn8q5y7rou6qxp4akq,Riton,93,0.824,0.0076,0.862,0.000132,-3.424,0.126,122.98
56,0ky2g9adn8q5y7rou6qxp4akq,Polo G,95,0.789,0.41,0.536,0.0,-6.862,0.242,81.039
57,0ky2g9adn8q5y7rou6qxp4akq,Glass Animals,85,0.761,0.44,0.525,6.7e-06,-6.9,0.0944,80.87
58,0ky2g9adn8q5y7rou6qxp4akq,Tion Wayne,71,0.883,0.21,0.674,0.0,-8.043,0.357,141.02
59,0ky2g9adn8q5y7rou6qxp4akq,Tiësto,94,0.798,0.414,0.62,0.0192,-7.079,0.232,120.031
60,0ky2g9adn8q5y7rou6qxp4akq,Olivia Rodrigo,93,0.439,0.593,0.61,1.07e-05,-7.236,0.116,181.088
61,0ky2g9adn8q5y7rou6qxp4akq,ATB,90,0.669,0.194,0.784,6.28e-06,-5.603,0.112,125.993
62,0ky2g9adn8q5y7rou6qxp4akq,Tom Grennan,72,0.689,0.0833,0.706,0.0,-4.48,0.0312,106.52
63,0ky2g9adn8q5y7rou6qxp4akq,The Weeknd,90,0.65,0.0215,0.825,2.44e-05,-4.645,0.0325,118.091
64,0ky2g9adn8q5y7rou6qxp4akq,Olivia Rodrigo,96,0.585,0.721,0.436,1.31e-05,-8.761,0.0601,143.874
65,0ky2g9adn8q5y7rou6qxp4akq,Joel Corry,89,0.734,0.168,0.874,1.14e-05,-3.158,0.0662,122.953
66,0ky2g9adn8q5y7rou6qxp4akq,Masked Wolf,75,0.778,0.175,0.695,0.0,-6.865,0.0913,149.996
67,0ky2g9adn8q5y7rou6qxp4akq,MEDUZA,90,0.632,0.0689,0.595,0.0,-7.644,0.0401,124.114
68,0ky2g9adn8q5y7rou6qxp4akq,Russ Millions,83,0.889,0.389,0.705,1.04e-05,-8.683,0.392,141.069
69,0ky2g9adn8q5y7rou6qxp4akq,Ava Max,88,0.614,0.0697,0.934,0.0,-3.709,0.07,116.001
70,0ky2g9adn8q5y7rou6qxp4akq,Justin Bieber,87,0.658,0.0104,0.634,0.0,-6.068,0.0431,140.002
71,0ky2g9adn8q5y7rou6qxp4akq,Cardi B,83,0.868,0.0012,0.795,0.0193,-6.044,0.269,166.0
72,0ky2g9adn8q5y7rou6qxp4akq,Ella Henderson,68,0.661,0.454,0.486,0.0,-4.438,0.0431,78.31
73,0ky2g9adn8q5y7rou6qxp4akq,The Kid LAROI,92,0.662,0.213,0.413,0.0,-7.357,0.0299,93.005
74,0ky2g9adn8q5y7rou6qxp4akq,Shane Codd,79,0.693,0.0542,0.913,6.87e-05,-3.035,0.0298,123.989
75,0ky2g9adn8q5y7rou6qxp4akq,Dermot Kennedy,71,0.572,0.014,0.833,5.77e-05,-5.291,0.0754,158.104
76,0ky2g9adn8q5y7rou6qxp4akq,Mimi Webb,83,0.616,0.0723,0.576,0.0,-5.495,0.0532,89.962
77,0ky2g9adn8q5y7rou6qxp4akq,AURORA,88,0.422,0.629,0.302,7.83e-05,-9.214,0.0372,114.089
78,0ky2g9adn8q5y7rou6qxp4akq,Majestic,83,0.758,0.00364,0.913,6.92e-05,-2.926,0.113,128.04
79,0ky2g9adn8q5y7rou6qxp4akq,Anne-Marie,79,0.695,0.0889,0.784,0.0,-6.564,0.0402,128.031
80,0ky2g9adn8q5y7rou6qxp4akq,Tom Odell,48,0.442,0.717,0.538,2.95e-05,-8.55,0.0451,122.758
81,0ky2g9adn8q5y7rou6qxp4akq,Dua Lipa,89,0.722,0.0319,0.588,0.0,-5.932,0.0544,134.01
