,user_id,artist,popularity,acousticness,danceability,energy,instrumentalness,loudness,speechiness,tempo
0,yojam4kpfre3ozvia2n73cduw,J. Cole,58,0.705,0.0805,0.816,0.0,-7.046,0.32,94.211
1,yojam4kpfre3ozvia2n73cduw,J. Cole,65,0.679,0.145,0.648,0.0,-5.892,0.445,94.378
2,yojam4kpfre3ozvia2n73cduw,J. Cole,70,0.823,0.21,0.783,0.0,-6.274,0.154,141.882
3,yojam4kpfre3ozvia2n73cduw,J. Cole,81,0.837,0.149,0.364,0.0,-11.713,0.276,123.984
4,yojam4kpfre3ozvia2n73cduw,Bas,70,0.755,0.241,0.594,0.0,-5.906,0.216,178.929
5,yojam4kpfre3ozvia2n73cduw,Dreamville,75,0.691,0.511,0.64,0.0,-6.441,0.369,138.672
6,yojam4kpfre3ozvia2n73cduw,Larry Lovestein & The Velvet Revival,44,0.516,0.813,0.331,0.000396,-12.591,0.058,149.74
7,yojam4kpfre3ozvia2n73cduw,Jaden,65,0.727,0.131,0.867,0.000135,-5.682,0.0319,123.009
8,yojam4kpfre3ozvia2n73cduw,Kevin Abstract,48,0.571,0.808,0.553,0.0684,-9.249,0.0502,103.952
9,yojam4kpfre3ozvia2n73cduw,ASTN,50,0.466,0.524,0.413,0.0,-11.772,0.445,172.941
10,yojam4kpfre3ozvia2n73cduw,Paul McCartney,68,0.715,0.627,0.374,0.0,-6.665,0.0399,89.982
11,yojam4kpfre3ozvia2n73cduw,Kota the Friend,47,0.64,0.601,0.638,0.0,-7.021,0.289,79.981
12,yojam4kpfre3ozvia2n73cduw,Kota the Friend,47,0.577,0.851,0.426,0.0,-10.495,0.591,148.082
13,yojam4kpfre3ozvia2n73cduw,JID,65,0.836,0.00207,0.579,0.0,-6.164,0.243,85.486
14,yojam4kpfre3ozvia2n73cduw,FINNEAS,71,0.737,0.802,0.408,0.0,-7.941,0.104,127.918
15,yojam4kpfre3ozvia2n73cduw,Fei Yu-ching,55,0.29,0.145,0.482,0.000171,-8.207,0.035,141.459
16,yojam4kpfre3ozvia2n73cduw,Blaze,24,0.689,0.0171,0.733,0.000869,-7.062,0.124,167.126
17,yojam4kpfre3ozvia2n73cduw,love-sadKID,41,0.58,0.225,0.389,0.0,-7.813,0.445,172.387
18,yojam4kpfre3ozvia2n73cduw,L.Dre,62,0.75,0.89,0.148,0.884,-18.663,0.0834,73.518
19,yojam4kpfre3ozvia2n73cduw,Powfu,64,0.788,0.844,0.537,0.0,-4.966,0.107,85.03
20,yojam4kpfre3ozvia2n73cduw,NIKI,52,0.507,0.455,0.359,0.0,-10.74,0.0268,139.561
21,yojam4kpfre3ozvia2n73cduw,Peach Tree Rascals,78,0.676,0.617,0.525,0.0,-5.88,0.028,112.011
22,yojam4kpfre3ozvia2n73cduw,khai dreams,0,0.75,0.696,0.244,0.0,-18.624,0.0501,94.318
23,yojam4kpfre3ozvia2n73cduw,khai dreams,0,0.739,0.826,0.158,0.588,-18.86,0.0386,92.554
24,yojam4kpfre3ozvia2n73cduw,khai dreams,0,0.7,0.818,0.374,0.0,-13.278,0.0687,88.028
25,yojam4kpfre3ozvia2n73cduw,khai dreams,3,0.771,0.334,0.607,0.0,-12.02,0.113,90.035
26,yojam4kpfre3ozvia2n73cduw,khai dreams,0,0.802,0.159,0.312,0.226,-17.272,0.0389,106.676
27,yojam4kpfre3ozvia2n73cduw,khai dreams,0,0.52,0.739,0.268,0.177,-15.199,0.0407,119.856
28,yojam4kpfre3ozvia2n73cduw,khai dreams,0,0.774,0.545,0.281,0.0249,-12.527,0.0404,140.086
29,yojam4kpfre3ozvia2n73cduw,khai dreams,0,0.35,0.715,0.43,0.0,-13.14,0.131,169.908
30,yojam4kpfre3ozvia2n73cduw,khai dreams,0,0.586,0.821,0.384,0.000524,-16.529,0.246,140.006
31,yojam4kpfre3ozvia2n73cduw,khai dreams,0,0.765,0.144,0.379,0.00269,-10.569,0.0531,129.949
32,yojam4kpfre3ozvia2n73cduw,khai dreams,0,0.563,0.706,0.21,0.368,-17.84,0.282,129.222
