user,averages_distance,variances_distance
motorcitydrumensemble,0.5,729.0696467184313
tugcerd0gan,0.18,248.65341924597865
cassling,0.15,92.22533724168984
warnermusicus,0.2,219.16707332915632
bekypequi,0.26,176.19528473457365
jappanigga,0.27,273.71580475095345
canaloff,0.26,135.68381336123804
thedrunkencoconut,0.23,310.6509739046888
rgrmpbmagb,0.29,88.18549209196551
ana4756,0.17,180.82346250821956
kikakris,0.27,145.82382949222082
12159920175,0.3,407.7058636891705
sodex234,0.19,152.93429008601515
getthesoundofficial,0.29,573.4112877576764
21hsn7mqprb3gmlqme2yjwh6q,0.3,643.5369737443807
yagbffhs82h5it4kdqhxj1klp,0.33,438.7467576329356
allthingsgomusic,0.16,154.39073286263599
ky9tirqvhnrh28fpiffrcat6a,0.19,622.0669526917038
22bn7w5dofw3oifazh4jp62xq,0.29,124.31773019020297
516dxmjjwn8idp12klk9mvdry,0.12,264.71335092505933
ls9z056r1tqug9fkci6nfzm3s,0.44,566.3554872565634
edcolman,0.38,630.4474099626312
kvmevrh47rherjkqdnxbwqfno,0.29,402.7588710056849
1g52x18sz32j7fbpvacf477gx,0.22,46.617671677744454
3swhny3w7e7hiqmtu6xbhcjkx,0.13,605.7930771609748
bs7mg2kf91zym6w7xz7bpnqx9,0.23,312.04369775449203
nc832m2sptj9ojvwhda3b6i9b,0.3,190.36348943708225
w01in15m5nymwk5sfvgww0fj2,0.18,45.77279506389631
ijtk1x3kyuxt03r7qlmyhgrvj,0.25,365.51282844634
kenf9zvr388n1tviug1eubil4,0.24,141.62532634797896
gwv7j559u3bb2fqxi6j555by8,0.2,194.66292438549684
n5ogwqfj138doi3koqijgv8pm,0.23,292.99589374844675
c1hl96g1bbi9d5g35h7gw8smj,0.38,653.2845899344009
21ifzjxggdajdpc4w6iqxslkq,0.26,575.0479442343612
midranger,0.48,291.84506219720123
alvin5360,0.42,243.86712163702725
pauseguilucendo,1.05,604.9426320637384
n2k1a2tk388nyhi2rrybtenu6,0.26,50.502877897265094
12145820470,0.18,96.62276310580303
11163654510,0.34,393.80775956617754
q0382x49pqiluz3dqka0h85y3,0.25,262.9677804059355
earmilkdotcom,0.26,145.83126606507685
ram0nn7,0.25,329.28409868677744
djsmokemixtapes,0.22,162.14779856236126
12162399348,0.3,142.3891445255287
nicholaswgiannini,0.28,103.62561992187553
wildxtroye,0.12,125.07835398974561
willdesmet,0.24,118.66801514046763
21vg7jw5kj75mk7i25amepz4q,0.2,231.04516167480364
