user,averages_distance,variances_distance
u3t2bcz98s7sfim34svvws3iy,0.26,283.78054304505383
g3rortuxyqju93m32z3z0s9mf,0.18,214.1266237593036
cashmase,0.15,161.5051780961852
hlx9anbs73d0r6v06qwdq0gsn,0.21,483.99075930325176
21kky6m3d7map5zqd4g47uarq,0.26,421.824395730032
122881276,0.24,178.73818286004084
2l4ejc2yr4y4owuhr3k8a0aac,0.28,200.44729122962298
xha86tipmns6phvvoiuf67gsy,0.31,109.9829681714779
noob.scw,0.2,82.83343241221081
theswingingturtle,0.23,299.2892287476151
11187156787,0.27,265.2213115870505
rainbanquo,0.17,144.99033124646454
1276640268,0.2,98.68345330994649
eliary123,0.1,97.98382158759773
allanmoura1,0.15,465.2681414410293
p1ebwx7jjtjkqo3yoo7ml8r8l,0.17,224.61237735321043
cbellkep,0.13,212.15588829489135
21osoav3gcnkbuyagdj4cthci,0.16,61.27206136490679
szhny45mgwd5env9uzusoedbv,0.1,151.08693127658165
22wzdfa77jayuly6ggaxa6plq,0.25,181.61424315204764
xecxyij55mozhl87xpv93icw4,0.2,116.65541517665977
indiemusicpromo,0.41,244.7031789274896
w12jky51c03wildfb6s7tn9xy,0.25,141.1468954221621
jayhonest,0.2,233.18750225054652
jfmqo0g8mtgg928lkoos1g3uj,0.26,144.35013017308086
1245697836,0.38,549.4078180343911
ex7yly13bmwt0rk4396haogwc,0.21,186.24272581423514
iamsayiboy,0.13,242.23843701198666
md8rbtlvqwu75wvqpqxqqdg2z,0.22,34.61312619999116
119306811,0.57,592.6852248727981
21cemrxoh7w64ve7ky7bdqkqy,0.24,318.12741935625064
6ejxzneuch5w38vj8bs2kkh2a,0.15,179.58204487027794
0lec8qco0eaes3lyyycre9mb6,0.22,345.57369001719184
woyodw7qt0hwneudtbf4gotxw,0.35,344.13283413309637
bc3t3ftzr4jygp05z9bfugx9x,0.31,156.43685655843578
1240231910,0.21,587.6745132141826
jochnilo,0.27,181.08061836059576
go3ldcv9phluwsnw3584mhc1i,0.31,364.3684073692769
nt71phz86dkxvxs3pqx6qz1cm,0.48,549.1980086587383
8sed9n18dm1h9v6lgcesofa8e,0.29,247.41234977610173
djcarstenmichels,0.34,570.4400917503554
cfehup1ku26h9hrkjc3wtpshs,0.71,466.5765343011948
1255900234,0.32,323.808154103323
1168743619,0.2,187.07607913796383
pci04f41yz3244hqh9zaexotx,0.38,310.5466628606927
py4wt0il5ss8aa3ygdtmkpv9a,0.28,238.33767652522428
mnc45gwm4p4bj1mxo1j64ssaw,0.34,434.42848851177075
roamfm,0.26,54.01134556307962
jsq00o76wnwjhzlzoro4x8nt9,0.33,612.5279089812127
124245076,0.44,424.1717011026448
31k6xajclhq2t326a747ybdbmmfq,0.22,139.33647123437248
