user,averages_distance,variances_distance
m9rc1d9czvlv16aos6fa31elp,0.13,105.01796251226826
xt4nmrm9b9mfnqaprzo59oi5l,0.24,53.36178811586122
1192865872,0.27,103.81332717128471
31omgwzjbnjw3rtsxzo4bzda3zs4,0.28,381.56598974557943
sirjordanwaddell,0.12,54.506341645865575
dittomusic,0.16,213.17076428253486
xunemag,0.4,485.4277240493712
j6g6gao1yjno04iamewot6gqs,0.18,327.8757523383171
i0yqel1xzjw2ej5iu0ftszud6,0.44,249.48839398547418
5q1c0b4x9oaqx0eqw2dx4vy40,0.3,465.17512423796086
12127205699,0.32,335.4031573265641
jdharoldsen805,0.15,130.89643322658085
ux1qw08qfbmn652wm7cj43wum,0.21,202.6167229168653
ft9jdg92ybdo3u2rp8w5m1xnv,0.39,355.29201192425563
4qnmezorapdajajqz6bpj6s9a,0.47,228.11907549697978
tjrobhobvah50p5joa13u7y63,0.26,241.62637980045454
aofd3,0.59,348.4613917109754
misterevidence,0.3,421.44743428420446
amayaelidani,0.26,135.7788804584716
ændy,0.23,118.39159700792138
5ewz15z68iua1lluoiqiiwx2p,0.27,214.91450491324457
12100215924,0.35,641.7961946306804
1151423835,0.2,247.80244280462617
11163784827,0.2,103.79774967153543
madmartigan16,0.25,246.9474367632514
egl49kkmh39ymwm16sg89f4ix,0.42,460.08067667650175
g1jui61jtqtjogfqyyswavoc0,0.09,280.0060202118197
slimdog27,0.55,413.42887580230837
22ouqri7lucpd7lxxsnf3t4vi,0.17,154.27568530294994
1152197740,0.27,110.77532130887833
sqqi,0.16,171.3466673223469
nykxmuzik,0.12,66.93268566078216
yeywjb21nfd7dlmcpvd26koia,0.46,674.6386724650345
z7xx6kv6huqrgc04ih6tpeiz7,0.21,150.71133442564167
1199988877,0.41,410.5890289846768
129376585,0.21,259.4521126954828
onvfivdlrjb5junk4z06ca7u2,0.2,57.97586492787193
avio01mj1zfgp0a04p6wb6y1k,0.42,503.7799062382829
12153091552,0.14,128.5905031723183
g9hyus16wmmlyglclg7xjz88w,0.13,154.75101999754716
joshuamjessen,0.41,446.3529894836938
6ltgym1w7cnapkh8ptvwfwmt5,0.15,321.1566927867614
nq6j0x6dovztxhc2i5vrhvee6,0.1,253.67277954485658
mnyedyc2i5fwejcg51tr65s2j,0.14,120.965885445665
1283297927,0.22,292.3399189966587
n34ujb08aurbuht3xxe55486o,0.35,474.338118941375
duysorandom,0.17,173.64131993109947
aschel2010,0.23,388.3125092352172
e2jf5kbgzxc615k1yfijnspfp,0.32,235.90563202364564
y0k0q2yv6vvv0uky8y7fre29w,0.26,184.44460664508486
8l0324dag7nm3ksbeky9iozxr,0.26,307.2390949731034
ithaaw3n8jgrrp9hj0vm3o6x9,0.29,283.4649759278988
5ywuqz4w6mj63yy95hjma6k1p,0.26,198.00831626693844
mannyarber,0.14,53.76787778534216
adanazag,0.18,20.865977319284667
lancejoshuadl,0.12,148.74411341030066
popplasticmusic,0.52,342.2712944829569
swiftcoentinc,0.21,56.47358978756936
smo7u3pm1wl017tj3beqd04ww,0.27,543.7430948942035
172ou0xrjlfqe08pvt8929bvw,0.2,259.6142264706951
wavecache,0.25,196.67529152996826
6fbfr5ao6dnez7mwcebgedqua,0.26,208.09035127422248
22rs5hqz2ofgvxlxx2yeq3j6q,0.3,129.06898274819662
actionhero23,0.64,536.1845727925321
eeats3sf7lz0vdkujc8ooyinn,0.79,692.199963023636
1254636338,0.16,54.96486284634453
b1v44ffq29hcp8hi667kqlf9r,0.23,326.4026412766757
merlinmorgan,0.21,27.522661016387676
hagustasbwuguizht41knv0d1,0.43,731.4680603443362
1111320434,0.35,619.9307607852502
chill_masters,0.48,560.4822395413732
marco.cardin1990,0.28,591.205396703577
lefuturewave,0.29,566.5530076040626
bobsmusicbox,0.5,484.89268307633057
s3lfxzowjd5d0rpb2mw5yikv0,0.4,574.1766708936747
2u04jn0p8niegvo7ib6bm2lj1,0.34,225.76819461884153
bagigetto-it,0.66,681.6003242810873
y3dsxd7b2j6e9r3go3cvxs1vm,0.68,728.3222746633496
21nyfndkvlznpmojjokel7rai,0.44,863.323265196756
djalexanderv,0.4,570.294571918562
ftrf13rm9wdw3vy3tghe1n4j8,0.15,352.0204397762819
u8dj6j6rclzd13q8r3glw0tz4,0.16,26.906718193647276
jaymellz,0.28,351.5058253030677
11137824602,0.21,161.6957276582649
zd528uqdpa5bnyv7cbeka94ci,0.21,77.27473346782071
jq74fbo4etdnda8vem7vrqd2q,0.14,182.84407420834532
1281170391,0.45,252.73092931353492
p6gi3ut4vmzgoaj1927nxugqx,0.34,104.20331219536534
12172782523,0.24,145.16602795648328
l0gou30okja0ednuru9j2c2kf,0.15,170.41940393394236
street_science,0.21,219.31093170537744
dbomusic13,0.19,157.0825782809508
ruupe44,0.34,523.8680323356732
1175524570,0.8,302.5677006484416
kallopsia,0.11,175.38345754155273
117832757,0.55,303.73659995743435
francorosso78,0.43,598.075605192972
