,user_id,artist,popularity,acousticness,danceability,energy,instrumentalness,loudness,speechiness,tempo
0,yojam4kpfre3ozvia2n73cduw,J. Cole,58,0.705,0.0805,0.816,0.0,-7.046,0.32,94.211
1,yojam4kpfre3ozvia2n73cduw,J. Cole,65,0.679,0.145,0.648,0.0,-5.892,0.445,94.378
2,yojam4kpfre3ozvia2n73cduw,J. Cole,70,0.823,0.21,0.783,0.0,-6.274,0.154,141.882
3,yojam4kpfre3ozvia2n73cduw,J. Cole,81,0.837,0.149,0.364,0.0,-11.713,0.276,123.984
4,yojam4kpfre3ozvia2n73cduw,Bas,70,0.755,0.241,0.594,0.0,-5.906,0.216,178.929
5,yojam4kpfre3ozvia2n73cduw,Larry Lovestein & The Velvet Revival,44,0.516,0.813,0.331,0.000396,-12.591,0.058,149.74
6,yojam4kpfre3ozvia2n73cduw,Jaden,65,0.727,0.131,0.867,0.000135,-5.682,0.0319,123.009
7,yojam4kpfre3ozvia2n73cduw,Kevin Abstract,48,0.571,0.808,0.553,0.0684,-9.249,0.0502,103.952
8,yojam4kpfre3ozvia2n73cduw,ASTN,49,0.466,0.524,0.413,0.0,-11.772,0.445,172.941
9,yojam4kpfre3ozvia2n73cduw,Paul McCartney,68,0.715,0.627,0.374,0.0,-6.665,0.0399,89.982
10,yojam4kpfre3ozvia2n73cduw,khai dreams,0,0.75,0.696,0.244,0.0,-18.624,0.0501,94.318
11,yojam4kpfre3ozvia2n73cduw,khai dreams,0,0.739,0.826,0.158,0.588,-18.86,0.0386,92.554
12,yojam4kpfre3ozvia2n73cduw,khai dreams,0,0.7,0.818,0.374,0.0,-13.278,0.0687,88.028
13,yojam4kpfre3ozvia2n73cduw,khai dreams,3,0.771,0.334,0.607,0.0,-12.02,0.113,90.035
14,yojam4kpfre3ozvia2n73cduw,khai dreams,0,0.802,0.159,0.312,0.226,-17.272,0.0389,106.676
15,yojam4kpfre3ozvia2n73cduw,khai dreams,0,0.871,0.51,0.676,3.4e-06,-5.572,0.147,125.07
16,yojam4kpfre3ozvia2n73cduw,khai dreams,0,0.734,0.896,0.222,0.0,-17.287,0.229,106.946
17,yojam4kpfre3ozvia2n73cduw,khai dreams,0,0.852,0.383,0.424,0.0,-9.308,0.0463,94.934
18,yojam4kpfre3ozvia2n73cduw,khai dreams,3,0.771,0.334,0.607,0.0,-12.02,0.113,90.035
19,yojam4kpfre3ozvia2n73cduw,khai dreams,0,0.774,0.545,0.281,0.0249,-12.527,0.0404,140.086
20,yojam4kpfre3ozvia2n73cduw,khai dreams,75,0.766,0.595,0.354,0.0,-9.486,0.0543,153.902
21,yojam4kpfre3ozvia2n73cduw,khai dreams,68,0.771,0.336,0.607,0.0,-12.02,0.113,90.039
22,yojam4kpfre3ozvia2n73cduw,khai dreams,67,0.851,0.383,0.424,0.0,-9.307,0.0463,94.927
23,yojam4kpfre3ozvia2n73cduw,khai dreams,64,0.521,0.739,0.268,0.177,-15.199,0.0407,119.879
24,yojam4kpfre3ozvia2n73cduw,khai dreams,62,0.511,0.918,0.235,0.0,-13.345,0.127,117.769
25,yojam4kpfre3ozvia2n73cduw,Mac Miller,72,0.861,0.627,0.33,1.93e-06,-7.194,0.0526,95.016
26,yojam4kpfre3ozvia2n73cduw,Chris Wright,51,0.693,0.946,0.403,5.07e-06,-8.773,0.191,115.621
27,yojam4kpfre3ozvia2n73cduw,Ant Saunders,58,0.816,0.464,0.401,0.0,-8.041,0.22,129.041
28,yojam4kpfre3ozvia2n73cduw,khai dreams,3,0.771,0.334,0.607,0.0,-12.02,0.113,90.035
29,yojam4kpfre3ozvia2n73cduw,Rook1e,49,0.601,0.478,0.565,0.0,-6.46,0.174,75.377
30,yojam4kpfre3ozvia2n73cduw,Rook1e,49,0.601,0.478,0.565,0.0,-6.46,0.174,75.377
31,yojam4kpfre3ozvia2n73cduw,Awon,52,0.649,0.744,0.648,0.0,-7.275,0.343,93.294
32,yojam4kpfre3ozvia2n73cduw,Guru,0,0.737,0.0786,0.577,0.0,-8.714,0.301,96.058
