,user,averages_distance,variances_distance
0,4ura3429lz6lq6xs5itaoqiyi,0.24,195.16222653337812
1,1263232932,0.29,222.0268454097292
2,spotify,0.2,104.57438903148352
3,dewar555,0.24,80.59092415037009
4,22jtg5pm3st6hnvc4tgubnviy,0.28,317.76137492021445
5,itsmythixx,0.2,292.6738574797584
6,gonnarxpeyou,0.1,135.66560656149292
7,awesomepersoncc,0.17,106.62635423037706
8,124980954,0.21,205.10540238015236
9,eliasalwan10,0.19,152.65724753728068
10,12135902319,0.17,115.1871939826756
11,matthewwalker101,0.25,204.98245097200444
12,reachrecords,0.31,330.9325990070291
13,1241017830,0.3,188.99169571643867
14,whatuprg,0.28,512.2861525981091
15,129332091,0.15,288.0019838872709
16,1268228142,0.18,187.46585093843484
17,1252605301,0.52,283.778028500961
18,loadcap,0.27,384.16373749434007
19,hollywdrecrds,0.18,191.159297398638
20,113369986,0.2,272.84302679844984
21,edsheeran,0.18,590.2366796024003
22,popitlikeatart17,0.2,220.55992345745727
23,1213737756,0.14,465.87869031382604
24,dariuscatheld,0.16,135.86634608343078
25,bunnycrusha,0.3,183.80908352619682
26,iam3,0.38,236.25861278238858
27,disis,0.8,333.9630824796132
28,renatoneca,0.44,336.96795428445
29,sagi-shi,0.39,190.55020638163276
30,12167986983,0.28,80.5471160147143
31,w3arycod3r,0.49,289.0096171775706
32,1166084041,0.23,96.46945566686921
33,12134593994,0.44,471.439121921698
34,jalen993,0.27,224.2070550969265
35,benbealmusic,0.33,396.7182400833629
36,ogjustatinxd,0.72,720.1853331777249
37,e07a1ftrxf0vnpyrrw5j1iwb1,0.77,782.6305716985545
38,_calvani_,0.19,374.1159250046159
39,soundplate,0.5,465.68058393388924
40,bigbeatrecords,0.38,656.6775564836797
41,myfearofmusic,0.24,248.58346588465957
42,225c4ndhiuu4pezo62nxzie7i,0.21,88.36215343803153
43,12132541020,0.41,359.7948677265385
44,apulianda,0.18,148.78983791654338
45,jakedeee,0.12,100.16846296458236
46,camillazi,0.15,264.29598681468946
47,myplay.com,0.19,279.9616474875997
48,allchillnations,0.19,383.7991539943968
49,brandonkaureaux,0.25,243.03517138299281
50,alltrapnation,0.3,374.4742564490269
51,1kphew,0.34,604.9343851003804
52,gawvi,0.29,241.2181068565756
53,espnmusic,0.31,151.5409156447515
54,sozoofficial,0.23,444.97585068971017
55,22x3nmljf6ok6t2gmeof6jtzy,0.33,591.5869179563488
56,mykaelv95,0.25,68.66165765635878
57,soundrop,0.22,61.48167673513967
58,wrightyp100,0.4,517.7383780964342
59,legacyrecordings,0.33,341.599666589774
60,suicidesheepify,0.3,427.1429463030167
61,allhousenation,0.45,887.7795450446271
62,tncrecordings,0.34,512.3938542408274
63,spinninrecordsofficial,0.42,765.6070350984543
64,sofia_carson_,0.28,459.21330788102995
65,1257980087,0.42,254.8266892814204
66,tini_official,0.24,424.8688355137489
67,sabrina_carpenter,0.12,160.51908148642738
68,olivia_holt_,0.28,256.8835522750169
69,1247342306,0.07,155.36934576725926
70,1245233075,0.25,93.20055225185516
71,iu4dbn211o3jz2gc8d1eeavu3,0.2,304.5097574294681
72,sushibomberz,0.26,182.05501338201043
73,wavegangchigs,0.17,203.50115245498588
74,1213886451,0.35,317.6099932464693
75,hp_deskcraft_2500,0.35,113.27846033835577
76,taybrouillet123,0.18,130.95231237107848
77,zz0p10htj4g9iwow9lffdhzfj,0.68,681.3889695959546
78,1174030805,0.46,804.5536661051437
79,fabianfarell,0.28,434.3000735289359
80,6pfhllxfz62pdnjbqecw1ff4t,0.5,752.8671637513118
81,21gozfqzp762vy7k7glyp62ka,0.29,698.9070833606788
82,l21a6r6fvin40vzb888j3iww2,0.35,442.8191263792172
83,tunemunk,0.28,149.27324774224363
84,teocida,0.38,272.58356795212524
85,efufwwamfcimlwh6l1q6ca6vd,0.26,138.1205355497411
